Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 14.23     16.52    16.52     9999     0.00     0.01  Asymmetric_Finite_Volume::iteration(Iteration)
  7.36     25.07     8.55 4627662872     0.00     0.00  std::vector<Value, std::allocator<Value> >::operator[](unsigned long)
  6.90     33.08     8.01 4036579729     0.00     0.00  std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > >::operator[](unsigned long)
  4.99     38.87     5.80 98000199     0.00     0.00  average_value(std::vector<Value, std::allocator<Value> >)
  3.84     43.33     4.46 893108042     0.00     0.00  std::vector<Value, std::allocator<Value> >::size() const
  3.46     47.35     4.02 490001604     0.00     0.00  std::vector<Value, std::allocator<Value> >::push_back(Value const&)
  2.84     50.65     3.30 392000796     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  2.19     53.20     2.55 98000199     0.00     0.00  total_value(std::vector<double, std::allocator<double> >)
  1.58     55.04     1.84 490001604     0.00     0.00  _ZNSt16allocator_traitsISaI5ValueEE9constructIS0_IRKS0_EEEvRS1_PT_DpOT0_
  1.57     56.87     1.83 490001604     0.00     0.00  void __gnu_cxx::new_allocator<Value>::construct<Value, Value const&>(Value*, Value const&)
  1.55     58.67     1.81 669279213     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  1.54     60.46     1.79 1568083179     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  1.52     62.23     1.77 392000796     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  1.52     63.99     1.76 1470084873     0.00     0.00  Value const& std::forward<Value const&>(std::remove_reference<Value const&>::type&)
  1.32     65.52     1.53 102726396     0.00     0.00  std::vector<Value, std::allocator<Value> >::vector(std::vector<Value, std::allocator<Value> > const&)
  1.29     67.02     1.50 848720015     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  1.14     68.34     1.32 490001604     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<Value> >::__construct_helper<Value, Value const&>::value, void>::type std::allocator_traits<std::allocator<Value> >::_S_construct<Value, Value const&>(std::allocator<Value>&, Value*, Value const&)
  1.10     69.62     1.28 98000199     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  1.03     70.82     1.20 140246563     0.00     0.00  std::abs(double)
