# Contour 0, label: 	 figure No 1
89	72
88	73
87	73
87	74
86	75
85	76
85	77
84	78
83	78
83	79
82	80
81	81
80	82
79	83
78	84
78	85
77	86
76	87
75	87
75	88
74	89
73	90
73	91
73	92
73	93
73	94
73	95
73	96
74	96
75	97
76	97
77	98
78	99
79	100
80	101
81	101
82	102
83	103
84	103
85	104
85	105
86	105
87	106
88	107
89	108
90	109
91	110
92	111
93	112
94	113
94	114
95	114
96	114
97	114
98	114
99	114
100	113
100	112
101	111
101	110
102	109
103	108
103	107
104	106
105	105
105	104
106	103
107	102
108	101
108	100
109	99
110	98
111	97
112	96
113	95
113	94
114	93
114	92
114	91
114	90
114	89
114	88
114	87
114	86
113	85
112	85
111	84
110	84
109	83
108	83
107	82
106	81
105	80
104	79
103	78
102	77
101	76
100	76
99	75
98	74
97	73
96	73
95	72
94	72
93	72
92	72
91	72
90	72
89	72

