
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:       10
 0.505051 -0.864349  10 
 0.494351 -0.850851  10 
 0.41273 -0.750751  10 
 0.341528 -0.650651  10 
 0.280658 -0.550551  10 
 0.230044 -0.45045  10 
 0.189627 -0.35035  10 
 0.159357 -0.25025  10 
 0.139197 -0.15015  10 
 0.129123 -0.0500501  10 
 0.129123  0.0500501  10 
 0.139197  0.15015  10 
 0.159357  0.25025  10 
 0.189627  0.35035  10 
 0.230044  0.45045  10 
 0.280658  0.550551  10 
 0.341528  0.650651  10 
 0.41273  0.750751  10 
 0.494351  0.850851  10 
 0.505051  0.864349  10 
 0.956622  0.850851  10 
 1.51515  0.803229  10 
 1.59972  0.750751  10 
 1.73206  0.650651  10 
 1.83388  0.550551  10 
 1.91123  0.45045  10 
 1.96853  0.35035  10 
 2.00899  0.25025  10 
 2.03481  0.15015  10 
 2.04738  0.0500501  10 
 2.04738 -0.0500501  10 
 2.03481 -0.15015  10 
 2.00899 -0.25025  10 
 1.96853 -0.35035  10 
 1.91123 -0.45045  10 
 1.83388 -0.550551  10 
 1.73206 -0.650651  10 
 1.59972 -0.750751  10 
 1.51515 -0.803229  10 
 0.956622 -0.850851  10 
 0.505051 -0.864349  10 


# Contour 1, label:        8
 1.51515 -1.16384  8 
 1.47756 -1.15115  8 
 1.03534 -1.05105  8 
 0.505051 -0.998614  8 
 0.469193 -0.950951  8 
 0.395481 -0.850851  8 
 0.330184 -0.750751  8 
 0.273223 -0.650651  8 
 0.224526 -0.550551  8 
 0.184035 -0.45045  8 
 0.151702 -0.35035  8 
 0.127486 -0.25025  8 
 0.111358 -0.15015  8 
 0.103298 -0.0500501  8 
 0.103298  0.0500501  8 
 0.111358  0.15015  8 
 0.127486  0.25025  8 
 0.151702  0.35035  8 
 0.184035  0.45045  8 
 0.224526  0.550551  8 
 0.273223  0.650651  8 
 0.330184  0.750751  8 
 0.395481  0.850851  8 
 0.469193  0.950951  8 
 0.505051  0.998614  8 
 1.03534  1.05105  8 
 1.47756  1.15115  8 
 1.51515  1.16384  8 
 1.54828  1.15115  8 
 1.7753  1.05105  8 
 1.94598  0.950951  8 
 2.07512  0.850851  8 
 2.17312  0.750751  8 
 2.24744  0.650651  8 
 2.3035  0.550551  8 
 2.34528  0.45045  8 
 2.3757  0.35035  8 
 2.39685  0.25025  8 
 2.4102  0.15015  8 
 2.41666  0.0500501  8 
 2.41666 -0.0500501  8 
 2.4102 -0.15015  8 
 2.39685 -0.25025  8 
 2.3757 -0.35035  8 
 2.34528 -0.45045  8 
 2.3035 -0.550551  8 
 2.24744 -0.650651  8 
 2.17312 -0.750751  8 
 2.07512 -0.850851  8 
 1.94598 -0.950951  8 
 1.7753 -1.05105  8 
 1.54828 -1.15115  8 
 1.51515 -1.16384  8 

-41.0315  47.8979  8 
-41.029  47.998  8 
-41.0265  48.0981  8 
-41.024  48.1982  8 
-41.0215  48.2983  8 
-41.0191  48.3984  8 
-41.0166  48.4985  8 
-41.0142  48.5986  8 
-41.0117  48.6987  8 
-41.0093  48.7988  8 
-41.0069  48.8989  8 
-41.0044  48.999  8 
-41.002  49.0991  8 
-40.9996  49.1992  8 
-40.9972  49.2993  8 
-40.9948  49.3994  8 
-40.9924  49.4995  8 
-40.99  49.5996  8 
-40.9876  49.6997  8 
-40.9852  49.7998  8 
-40.9829  49.8999  8 
-40.9805  50  8 

-41.3084  38.0881  8 
-41.3052  38.1882  8 
-41.3021  38.2883  8 
-41.2989  38.3884  8 
-41.2958  38.4885  8 
-41.2927  38.5886  8 
-41.2896  38.6887  8 
-41.2864  38.7888  8 
-41.2833  38.8889  8 
-41.2802  38.989  8 
-41.2772  39.0891  8 
-41.2741  39.1892  8 
-41.271  39.2893  8 
-41.2679  39.3894  8 
-41.2649  39.4895  8 
-41.2618  39.5896  8 
-41.2587  39.6897  8 
-41.2557  39.7898  8 
-41.2527  39.8899  8 
-41.2496  39.99  8 
-41.2466  40.0901  8 
-41.2436  40.1902  8 
-41.2406  40.2903  8 
-41.2376  40.3904  8 
-41.2346  40.4905  8 
-41.2316  40.5906  8 
-41.2286  40.6907  8 
-41.2256  40.7908  8 
-41.2226  40.8909  8 
-41.2197  40.991  8 
-41.2167  41.0911  8 
-41.2138  41.1912  8 
-41.2108  41.2913  8 
-41.2079  41.3914  8 
-41.205  41.4915  8 
-41.202  41.5916  8 
-41.1991  41.6917  8 
-41.1962  41.7918  8 
-41.1933  41.8919  8 
-41.1904  41.992  8 
-41.1875  42.0921  8 
-41.1846  42.1922  8 
-41.1818  42.2923  8 
-41.1789  42.3924  8 
-41.176  42.4925  8 
-41.1732  42.5926  8 
-41.1703  42.6927  8 
-41.1675  42.7928  8 
-41.1646  42.8929  8 
-41.1618  42.993  8 
-41.159  43.0931  8 
-41.1562  43.1932  8 
-41.1534  43.2933  8 
-41.1506  43.3934  8 
-41.1478  43.4935  8 
-41.145  43.5936  8 
-41.1422  43.6937  8 
-41.1394  43.7938  8 
-41.1367  43.8939  8 
-41.1339  43.994  8 
-41.1311  44.0941  8 
-41.1284  44.1942  8 
-41.1257  44.2943  8 
-41.1229  44.3944  8 
-41.1202  44.4945  8 
-41.1175  44.5946  8 
-41.1148  44.6947  8 
-41.112  44.7948  8 
-41.1093  44.8949  8 
-41.1067  44.995  8 
-41.104  45.0951  8 
-41.1013  45.1952  8 
-41.0986  45.2953  8 
-41.096  45.3954  8 
-41.0933  45.4955  8 
-41.0906  45.5956  8 
-41.088  45.6957  8 
-41.0854  45.7958  8 
-41.0827  45.8959  8 
-41.0801  45.996  8 
-41.0775  46.0961  8 
-41.0749  46.1962  8 
-41.0723  46.2963  8 
-41.0697  46.3964  8 
-41.0671  46.4965  8 
-41.0645  46.5966  8 
-41.0619  46.6967  8 
-41.0593  46.7968  8 
-41.0568  46.8969  8 
-41.0542  46.997  8 
-41.0517  47.0971  8 
-41.0491  47.1972  8 
-41.0466  47.2973  8 
-41.044  47.3974  8 
-41.0415  47.4975  8 
-41.039  47.5976  8 
-41.0365  47.6977  8 
-41.034  47.7978  8 
-41.0315  47.8979  8 

-41.6435  28.2783  8 
-41.6398  28.3784  8 
-41.6362  28.4785  8 
-41.6326  28.5786  8 
-41.629  28.6787  8 
-41.6254  28.7788  8 
-41.6218  28.8789  8 
-41.6182  28.979  8 
-41.6146  29.0791  8 
-41.611  29.1792  8 
-41.6074  29.2793  8 
-41.6038  29.3794  8 
-41.6002  29.4795  8 
-41.5966  29.5796  8 
-41.593  29.6797  8 
-41.5894  29.7798  8 
-41.5859  29.8799  8 
-41.5823  29.98  8 
-41.5787  30.0801  8 
-41.5752  30.1802  8 
-41.5716  30.2803  8 
-41.568  30.3804  8 
-41.5645  30.4805  8 
-41.5609  30.5806  8 
-41.5574  30.6807  8 
-41.5538  30.7808  8 
-41.5503  30.8809  8 
-41.5468  30.981  8 
-41.5432  31.0811  8 
-41.5397  31.1812  8 
-41.5362  31.2813  8 
-41.5326  31.3814  8 
-41.5291  31.4815  8 
-41.5256  31.5816  8 
-41.5221  31.6817  8 
-41.5186  31.7818  8 
