
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# IsoCurve 0, 100 points
# x y z type
-50 -50  9.8 i
-48.9899 -50  9.59802 i
-47.9798 -50  9.39613 i
-46.9697 -50  9.19433 i
-45.9596 -50  8.99263 i
-44.9495 -50  8.79103 i
-43.9394 -50  8.58954 i
-42.9293 -50  8.38816 i
-41.9192 -50  8.18691 i
-40.9091 -50  7.98578 i
-39.899 -50  7.78478 i
-38.8889 -50  7.58393 i
-37.8788 -50  7.38323 i
-36.8687 -50  7.18267 i
-35.8586 -50  6.98228 i
-34.8485 -50  6.78206 i
-33.8384 -50  6.58201 i
-32.8283 -50  6.38214 i
-31.8182 -50  6.18246 i
-30.8081 -50  5.98297 i
-29.798 -50  5.78369 i
-28.7879 -50  5.58461 i
-27.7778 -50  5.38574 i
-26.7677 -50  5.1871 i
-25.7576 -50  4.98867 i
-24.7475 -50  4.79047 i
-23.7374 -50  4.5925 i
-22.7273 -50  4.39477 i
-21.7172 -50  4.19727 i
-20.7071 -50  4.00001 i
-19.697 -50  3.80299 i
-18.6869 -50  3.6062 i
-17.6768 -50  3.40965 i
-16.6667 -50  3.21333 i
-15.6566 -50  3.01725 i
-14.6465 -50  2.82138 i
-13.6364 -50  2.62573 i
-12.6263 -50  2.4303 i
-11.6162 -50  2.23506 i
-10.6061 -50  2.04002 i
-9.59596 -50  1.84515 i
-8.58586 -50  1.65045 i
-7.57576 -50  1.45591 i
-6.56566 -50  1.2615 i
-5.55556 -50  1.06721 i
-4.54545 -50  0.873025 i
-3.53535 -50  0.678929 i
-2.52525 -50  0.4849 i
-1.51515 -50  0.29092 i
-0.505051 -50  0.0969701 i
 0.505051 -50 -0.0969701 i
 1.51515 -50 -0.29092 i
 2.52525 -50 -0.4849 i
 3.53535 -50 -0.678929 i
 4.54545 -50 -0.873025 i
 5.55556 -50 -1.06721 i
 6.56566 -50 -1.2615 i
 7.57576 -50 -1.45591 i
 8.58586 -50 -1.65045 i
 9.59596 -50 -1.84515 i
 10.6061 -50 -2.04002 i
 11.6162 -50 -2.23506 i
 12.6263 -50 -2.4303 i
 13.6364 -50 -2.62573 i
 14.6465 -50 -2.82138 i
 15.6566 -50 -3.01725 i
 16.6667 -50 -3.21333 i
 17.6768 -50 -3.40965 i
 18.6869 -50 -3.6062 i
 19.697 -50 -3.80299 i
 20.7071 -50 -4.00001 i
 21.7172 -50 -4.19727 i
 22.7273 -50 -4.39477 i
 23.7374 -50 -4.5925 i
 24.7475 -50 -4.79047 i
 25.7576 -50 -4.98867 i
 26.7677 -50 -5.1871 i
 27.7778 -50 -5.38574 i
 28.7879 -50 -5.58461 i
 29.798 -50 -5.78369 i
 30.8081 -50 -5.98297 i
 31.8182 -50 -6.18246 i
 32.8283 -50 -6.38214 i
 33.8384 -50 -6.58201 i
 34.8485 -50 -6.78206 i
 35.8586 -50 -6.98228 i
 36.8687 -50 -7.18267 i
 37.8788 -50 -7.38323 i
 38.8889 -50 -7.58393 i
 39.899 -50 -7.78478 i
 40.9091 -50 -7.98578 i
 41.9192 -50 -8.18691 i
 42.9293 -50 -8.38816 i
 43.9394 -50 -8.58954 i
 44.9495 -50 -8.79103 i
 45.9596 -50 -8.99263 i
 46.9697 -50 -9.19433 i
 47.9798 -50 -9.39613 i
 48.9899 -50 -9.59802 i
 50 -50 -9.8 i

# IsoCurve 1, 100 points
# x y z type
-50 -49.8999  9.7996 i
-48.9899 -49.8999  9.59761 i
-47.9798 -49.8999  9.39571 i
-46.9697 -49.8999  9.1939 i
-45.9596 -49.8999  8.99219 i
-44.9495 -49.8999  8.79059 i
-43.9394 -49.8999  8.58909 i
-42.9293 -49.8999  8.3877 i
-41.9192 -49.8999  8.18644 i
-40.9091 -49.8999  7.98531 i
-39.899 -49.8999  7.78431 i
-38.8889 -49.8999  7.58345 i
-37.8788 -49.8999  7.38273 i
-36.8687 -49.8999  7.18218 i
-35.8586 -49.8999  6.98178 i
-34.8485 -49.8999  6.78155 i
-33.8384 -49.8999  6.5815 i
-32.8283 -49.8999  6.38163 i
-31.8182 -49.8999  6.18194 i
-30.8081 -49.8999  5.98245 i
-29.798 -49.8999  5.78317 i
-28.7879 -49.8999  5.58409 i
-27.7778 -49.8999  5.38522 i
-26.7677 -49.8999  5.18658 i
-25.7576 -49.8999  4.98815 i
-24.7475 -49.8999  4.78996 i
-23.7374 -49.8999  4.592 i
-22.7273 -49.8999  4.39427 i
-21.7172 -49.8999  4.19678 i
-20.7071 -49.8999  3.99953 i
-19.697 -49.8999  3.80251 i
-18.6869 -49.8999  3.60574 i
-17.6768 -49.8999  3.4092 i
-16.6667 -49.8999  3.2129 i
-15.6566 -49.8999  3.01683 i
-14.6465 -49.8999  2.82098 i
-13.6364 -49.8999  2.62535 i
-12.6263 -49.8999  2.42994 i
-11.6162 -49.8999  2.23473 i
-10.6061 -49.8999  2.03971 i
-9.59596 -49.8999  1.84486 i
