# Contour 0, label: 	 figure No 1
20	11
19	12
18	12
17	13
16	14
15	14
14	15
14	16
13	17
12	18
12	19
11	20
11	21
11	22
11	23
11	24
11	25
11	26
11	27
11	28
11	29
11	30
12	31
12	32
13	33
14	34
14	35
15	36
16	36
17	37
18	38
19	38
20	39
21	39
22	39
23	39
24	39
25	39
26	39
27	39
28	39
29	39
30	39
31	38
32	38
33	37
34	36
35	36
36	35
36	34
37	33
38	32
38	31
39	30
39	29
39	28
39	27
39	26
39	25
39	24
39	23
39	22
39	21
39	20
38	19
38	18
37	17
36	16
36	15
35	14
34	14
33	13
32	12
31	12
30	11
29	11
28	11
27	11
26	11
25	11
24	11
23	11
22	11
21	11
20	11

